"","coefficients","stdev","zvalues","pvalues"
"strategy1",0.071970738782514,0.0779763858622471,0.922981207537079,0.356016998629643
"strategy2",0.300973128407911,0.0855418601611461,3.51843095112649,0.000434106769601979
"strategy3",0.131499297409378,0.142957046705199,0.919851804721118,0.357650207300525
